clip_id,caption,P_tu_dong,sai,thieu,ghi_chu
dev_000211,"A door slamming, running footsteps, running footsteps, fireworks, a door slamming, running footsteps, applause and cheering, applause and cheering, glass breaking and people talking are heard at the same time.",applause_cheering;door_slam;fireworks;glass_breaking;running_footsteps;speech_normal,,,
dev_000644,No salient sound event was detected.,,,,
dev_000955,Applause and cheering is heard.,applause_cheering,,,
dev_000877,A siren is followed by a siren and running footsteps.,running_footsteps;siren,,,
dev_000503,"Applause and cheering, glass breaking, fireworks, running footsteps, applause and cheering, a person shouting, fireworks and applause and cheering are heard at the same time.",applause_cheering;fireworks;glass_breaking;running_footsteps;shout_yell,,,
dev_000266,No salient sound event was detected.,,,,
dev_000523,Applause and cheering is heard.,applause_cheering,,,
dev_000867,People talking is followed by an alarm bell.,alarm_bell;speech_normal,,,
dev_001036,"A gunshot, glass breaking, a gunshot, running footsteps, fireworks and objects or dishes falling are heard at the same time.",fireworks;glass_breaking;gunshot;object_drop_dishes;running_footsteps,,,
dev_000062,No salient sound event was detected.,,,,
dev_000455,An explosion is followed by an explosion.,explosion,,,
dev_000303,"Fireworks is followed by fireworks, a person screaming and fireworks.",fireworks;scream,,,
dev_001148,"An alarm bell is followed by a vehicle crash, glass breaking and applause and cheering.",alarm_bell;applause_cheering;glass_breaking;vehicle_crash,,,
dev_001402,No salient sound event was detected.,,,,
dev_000589,People talking is heard.,speech_normal,,,
dev_000808,People talking is followed by applause and cheering and applause and cheering.,applause_cheering;speech_normal,,,
dev_000718,"An alarm bell, applause and cheering, applause and cheering and glass breaking are heard at the same time.",alarm_bell;applause_cheering;glass_breaking,,,
dev_000103,No salient sound event was detected.,,,,
dev_001266,Glass breaking is followed by glass breaking.,glass_breaking,,,
dev_000282,A person shouting is followed by a siren.,shout_yell;siren,,,
dev_000777,"People talking is followed by running footsteps, a door slamming, running footsteps, a door slamming and running footsteps.",door_slam;running_footsteps;speech_normal,,,
dev_000740,No salient sound event was detected.,,,,
dev_001336,An alarm bell is heard.,alarm_bell,,,
dev_000260,Fireworks is followed by applause and cheering.,applause_cheering;fireworks,,,
dev_000049,"A person shouting is followed by people talking, running footsteps, a door slamming and applause and cheering.",applause_cheering;door_slam;running_footsteps;shout_yell;speech_normal,,,
dev_000565,No salient sound event was detected.,,,,
dev_001204,Applause and cheering is heard.,applause_cheering,,,
dev_001091,Applause and cheering and a person shouting are heard at the same time.,applause_cheering;shout_yell,,,
dev_001069,"A door slamming is followed by applause and cheering, applause and cheering and fireworks.",applause_cheering;door_slam;fireworks,,,
dev_001111,No salient sound event was detected.,,,,
dev_000597,A door slamming is heard.,door_slam,,,
dev_000415,Fireworks and an alarm bell are heard at the same time.,alarm_bell;fireworks,,,
dev_000068,"Glass breaking is followed by an alarm bell, an alarm bell, an alarm bell and laughter.",alarm_bell;glass_breaking;laughter,,,
dev_001434,No salient sound event was detected.,,,,
dev_001370,A siren is heard.,siren,,,
dev_000729,"Fireworks, glass breaking, glass breaking, fireworks, glass breaking, fireworks and fireworks are heard at the same time.",fireworks;glass_breaking,,,
dev_000412,"A person shouting is followed by a vehicle crash, a person shouting, a door slamming, laughter, an alarm bell, running footsteps and a door slamming.",alarm_bell;door_slam;laughter;running_footsteps;shout_yell;vehicle_crash,,,
dev_000899,No salient sound event was detected.,,,,
dev_000118,Applause and cheering is heard.,applause_cheering,,,
dev_001381,Running footsteps and glass breaking are heard at the same time.,glass_breaking;running_footsteps,,,
dev_000994,"An alarm bell, applause and cheering, people talking, fireworks, fireworks, fireworks, running footsteps, a door slamming, running footsteps and a door slamming are heard at the same time.",alarm_bell;applause_cheering;door_slam;fireworks;running_footsteps;speech_normal,,,
dev_001164,No salient sound event was detected.,,,,
dev_000614,A siren is heard.,siren,,,
dev_000935,Running footsteps is followed by a vehicle crash.,running_footsteps;vehicle_crash,,,
dev_000721,"An alarm bell is followed by objects or dishes falling, a person screaming, laughter and fireworks.",alarm_bell;fireworks;laughter;object_drop_dishes;scream,,,
dev_001027,No salient sound event was detected.,,,,
dev_000722,Glass breaking is heard.,glass_breaking,,,
dev_000464,An alarm bell is followed by glass breaking and an alarm bell.,alarm_bell;glass_breaking,,,
dev_000543,"A door slamming, objects or dishes falling, a door slamming, running footsteps, fireworks and a vehicle crash are heard at the same time.",door_slam;fireworks;object_drop_dishes;running_footsteps;vehicle_crash,,,
dev_000384,No salient sound event was detected.,,,,
dev_000915,People talking is heard.,speech_normal,,,
dev_001217,An explosion is followed by a person shouting.,explosion;shout_yell,,,
dev_001323,"Running footsteps is followed by an alarm bell, an alarm bell, objects or dishes falling and running footsteps.",alarm_bell;object_drop_dishes;running_footsteps,,,
dev_001300,No salient sound event was detected.,,,,
dev_000622,A person shouting is heard.,shout_yell,,,
dev_000202,A siren is followed by a person shouting.,shout_yell;siren,,,
dev_000563,A door slamming is followed by a person screaming and objects or dishes falling.,door_slam;object_drop_dishes;scream,,,
dev_000417,No salient sound event was detected.,,,,
dev_001035,Glass breaking is followed by glass breaking.,glass_breaking,,,
dev_000517,Fireworks is followed by applause and cheering.,applause_cheering;fireworks,,,
dev_000530,"An alarm bell, people talking, objects or dishes falling, a gunshot, glass breaking, glass breaking and a door slamming are heard at the same time.",alarm_bell;door_slam;glass_breaking;gunshot;object_drop_dishes;speech_normal,,,
dev_000697,No salient sound event was detected.,,,,
dev_000159,A person screaming is heard.,scream,,,
dev_000474,Objects or dishes falling and an alarm bell are heard at the same time.,alarm_bell;object_drop_dishes,,,
dev_000495,"Running footsteps is followed by running footsteps, fireworks, running footsteps, a person shouting, a door slamming, glass breaking and objects or dishes falling.",door_slam;fireworks;glass_breaking;object_drop_dishes;running_footsteps;shout_yell,,,
dev_001388,No salient sound event was detected.,,,,
dev_000956,An explosion is heard.,explosion,,,
dev_001220,"Running footsteps, fireworks, running footsteps and fireworks are heard at the same time.",fireworks;running_footsteps,,,
dev_000033,"An explosion is followed by laughter, people talking, a person screaming, a person shouting, a siren, a vehicle crash, a siren and a person shouting.",explosion;laughter;scream;shout_yell;siren;speech_normal;vehicle_crash,,,
dev_000557,No salient sound event was detected.,,,,
dev_001421,An explosion is heard.,explosion,,,
dev_000328,An alarm bell is followed by an explosion and an alarm bell.,alarm_bell;explosion,,,
dev_001406,An alarm bell is followed by an explosion and a person screaming.,alarm_bell;explosion;scream,,,
